微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MyBPO2MFO,室友床边老是有很多又湿又皱的纸，看来他的查克拉属性是水和雷——@仿生阿卡丽会吃电子面吗  ,,无,无,无,2023-03-23 16:06,橘色pop子HarmonyOS设备,403,37,29
MyuHT2G0S,《南部喀拉拉邦农田踩踏》——印象派代表作——@炸过的花椒实在是太难吃咯  ,,无,无,无,2023-03-22 21:58,橘色pop子HarmonyOS设备,96,2,12
MyuCJAOVH,美杜莎空降中国，中国石化——@靓仔富贵爱萌萌  ,,无,无,无,2023-03-22 21:45,橘色pop子HarmonyOS设备,550,34,30
Myuv6x09g,老臣年迈，无法跪谢皇恩，只好新臣代谢——@炸过的花椒实在是太难吃咯  ,,无,无,无,2023-03-22 21:26,橘色pop子HarmonyOS设备,1019,328,45
Myugafuqi,曹操这么出名，是不是因为他喜欢超人气？——@CC_老师  ,,无,无,无,2023-03-22 20:49,橘色pop子HarmonyOS设备,378,29,30
Myu0iutWi,弱小的小明遇到霸凌急中生智，变成弱智——@寒幽  ,,无,无,无,2023-03-22 20:10,橘色pop子HarmonyOS设备,511,21,18
MytLikdui,杨过只剩一只手都这么厉害，两只手都没了还得了？——@寒幽  ,,无,无,无,2023-03-22 19:33,橘色pop子HarmonyOS设备,1867,140,59
Myt75yYDT,夜晚到来，宣告着我的灭世计划成功！——@美人驴战士  ,,无,无,无,2023-03-22 17:54,橘色pop子HarmonyOS设备,153,3,20
Myrken1X9,刚到新城市，准备让纯路人show show way——@炸过的花椒实在是太难吃咯  ,,无,无,无,2023-03-22 13:21,橘色pop子HarmonyOS设备,271,3,21
MyrdrxTNG,童年的家才是故乡，大人都是无法回家的异乡人。——@NZCSX  ,,无,无,无,2023-03-22 13:05,橘色pop子HarmonyOS设备,1029,122,56
MyqSulGLM,近水楼台先得水——@椰奶椰奶冻  ,,无,无,无,2023-03-22 12:13,橘色pop子HarmonyOS设备,305,4,34
MylQBEpsb,重阳节建议给60岁以上的老人放半天假。——@phlame  ,,无,无,无,2023-03-21 23:25,微博网页版,2694,231,85
MylBZFGyC,玩狼人杀大家都不愿意抽到预言家对吗？因为预言家路窄——@六翼大叔  ,,无,无,无,2023-03-21 22:49,微博网页版,468,20,38
Mylkfg16P,那么多资本家被吊死在路灯上，那资本家是不是应该拜灯？——@稗草遗章  ,,无,无,无,2023-03-21 22:05,橘色pop子HarmonyOS设备,532,13,28
Myldf6ZwY,“为什么瞭望塔要修得那么高？”“高能预警”——@六翼大叔  ,,无,无,无,2023-03-21 21:48,微博网页版,407,15,20
MylahE2rw,在中国，没有我骑不走的共享单车.——@17排21座  ,,无,无,无,2023-03-21 21:40,橘色pop子HarmonyOS设备,808,10,46
MykRv61NQ,计算机的屏幕是什么形状？北大：方正。清华：同方！——@猴子改了ID  ,,无,无,无,2023-03-21 20:54,橘色pop子HarmonyOS设备,597,6,23
MykO4Baky,通过不断和大师学习看手相，我现在一眼就可以看出网友发给我的照片是右手还是左手——@张大海的奇妙冒险  ,,无,无,无,2023-03-21 20:46,微博网页版,226,6,19
MykoUb4kH,施主 社畜说摆不说享，摆年XX岁。——@葵花籽和南瓜子  ,,无,无,无,2023-03-21 19:44,微博网页版,361,9,20
MyjZJBVOU,【数学相关两则】“我很讨厌像这样没有边界感的！”小明对 im(∂ₙ)破口大骂——Davi_K王警官在仔细检查后，初步判断被害人死亡原因为亏格+1——@老六mumuko  ,,无,无,无,2023-03-21 18:42,微博网页版,696,21,53
MyjzLfwfE,分开一个原子需要极大的能量，所以只要找到一种全部由原子组成的衣服就能刀枪不入了。——@來壹杯柠檬水  ,,无,无,无,2023-03-21 17:38,微博网页版,313,4,46
Myjacdfw4,“吃人家的嘴短”老师教大家辨别食人族的方法——@鹅鸭痛  ,,无,无,无,2023-03-21 16:35,微博网页版,255,6,13
MyiN3lXI3,机器人体检常规项目铁人三项——@星空tsuki  ,,无,无,无,2023-03-21 15:38,微博网页版,190,8,17
Myioih7mn,小明：医生，我色弱治多久能好？医生：虽然人类的性癖是自由的，但我还是建议你去看下医生——@星空tsuki  ,,无,无,无,2023-03-21 14:37,微博网页版,791,16,44
MyhYIyPXB,下面请欣赏电视剧《数风流人物》一个，两个，三个，四个，五个，六个……——@安静地嗨  ,,无,无,无,2023-03-21 13:34,微博网页版,274,8,35
Myhzyo8n1,上海菜有个手法叫糟，糟毛豆，糟虾，糟鸡翅，糟老头子——@流量明星孙书恒  ,,无,无,无,2023-03-21 12:32,微博网页版,444,15,53
MygM2dlC3,偷换观点、避而不谈、乱扣帽子、以少代多、人身攻击 — 当代互联网搏击五大制胜法宝——@废纸篓战神  ,,无,无,无,2023-03-21 10:30,微博网页版,1139,62,75
MygnGftWw,兽医在上班时吸猫，是否算潜规则病患——@废纸篓战神  ,,无,无,无,2023-03-21 09:30,微博网页版,1654,124,50
MyfZkBogv,一遍又一遍的喊着“还不够呢”费马终于创立了费まだ定理——@废纸篓战神  ,,无,无,无,2023-03-21 08:30,微博网页版,394,38,24
MyfAa7ZUF,朋友晕车了，我帮他叫了救护车。——@一座塔  ,,无,无,无,2023-03-21 07:28,微博网页版,511,8,31
Mycq7mNzj,牛奶与巧克力同嚼有牛奶巧克力味——@猛男迪兰左右为难  ,,无,无,无,2023-03-20 23:25,微博网页版,539,9,40
Myc1L431a,冬天跑到南方去，春天回到北方，所以太阳直射点是候鸟——@猛男迪兰左右为难  ,,无,无,无,2023-03-20 22:25,微博网页版,197,9,13
MybD01oWV,根据我两年来的观察，20后的自控力接近美国总统拜登——@猛男迪兰左右为难  ,,无,无,无,2023-03-20 21:24,微博网页版,399,7,23
MybcCraZ6,每天听到闹钟就起床也是一种巴普洛夫效应——@二流侦探王南柯  ,,无,无,无,2023-03-20 20:19,微博网页版,332,28,20
MyaNsfo7C,上帝造人是一场针对地球的物种入侵——@托庇亚  ,,无,无,无,2023-03-20 19:17,微博网页版,431,31,27
MyaoGA0YI,小明上了高中，这违背了小明的初中——@托庇亚  ,,无,无,无,2023-03-20 18:16,微博网页版,458,22,30
My9ZW6NTr,很多人说他们周末要加班，请问他们是加班帮秦灭六国嘛？——@煎蛋芹芯儿  ,,无,无,无,2023-03-20 17:15,微博网页版,548,21,25
My9zXlX95,谁都可以成为那10% 但最终成为那10%的人 只有10%——@BYHYJ  ,,无,无,无,2023-03-20 16:11,微博网页版,3536,187,93
My9bciewS,从前有个超人气偶像，偶像被气死了。——@sanddexter  ,,无,无,无,2023-03-20 15:10,微博网页版,537,23,55
My8MretOg,王警官在尸体耳边说了一整晚的话，确定死者是个聋子。——@虾仁猪心  ,,无,无,无,2023-03-20 14:09,微博网页版,795,13,37
My8nFz7Lt,面对前来自首的犯人，王警官大声怒斥：“剧透可耻！”——@虾仁猪心  ,,无,无,无,2023-03-20 13:08,微博网页版,391,4,20
My7XH9q8c,乐极生悲: 开心快乐的人生了孩子就会悲伤寸草不生: 连一寸的草都不愿意生孩子三生有幸: 生三胎有福利长生不老: 一直生孩子就不会老老生常谈: 老人家一直催我生孩子同生共死: 一起生孩子就会一起死——@不知名得E门生  ,,无,无,无,2023-03-20 12:04,微博网页版,1042,50,50
My7yxgiw4,天上的星星不说话，地上的**不能说话——@欣欣是美女w  ,,无,无,无,2023-03-20 11:02,微博网页版,1346,63,80
My7kJdTQM,云玩家，又叫高端玩家——@报时器Vault  ,,无,无,无,2023-03-20 10:28,微博网页版,517,11,28
My78XhwAp,在嘴里的口香糖让人口香，在鞋底的口香糖让人口臭——@___灵光  ,,无,无,无,2023-03-20 09:59,微博网页版,245,5,24
My6yqFAz8,信仰缺失很可怕，日本就是因为没有神父才对小男孩没有办法——@_司马三思_  ,,无,无,无,2023-03-20 08:29,微博网页版,1112,119,39
My63Z4z9t,我偷东西手法干净利落，为什么说我手脚不干净？——@極覇矛  ,,无,无,无,2023-03-20 07:14,微博网页版,593,3,36
My1YFEaqo,这位唐僧老说不过孙悟空，原来他是词穷瑞。——@谐霸  ,,无,无,无,2023-03-19 20:49,橘色pop子HarmonyOS设备,313,1,12
My1IllaxH,土木老哥都是筑基期修士——@山声盈晚楼  ,,无,无,无,2023-03-19 20:09,橘色pop子HarmonyOS设备,240,7,19
My1rMdoWE,某地男科患者急剧减少，只因食人族想吃养胃的。——@默然夜  ,,无,无,无,2023-03-19 19:28,橘色pop子HarmonyOS设备,550,51,29
My0LgoRQQ,华流才是最屌的，打一历史人物——韩非。——@一秒钟哲学家  ,,无,无,无,2023-03-19 17:44,橘色pop子HarmonyOS设备,269,2,28
My0lqtLpJ,“你将背负一条年轻的生命。”爸爸只好把孩子背回家。——@zb_Misaka  ,,无,无,无,2023-03-19 16:40,橘色pop子HarmonyOS设备,366,5,14
My0bU5eLQ,信托也是魔术的重要环节。——@zb_Misaka  ,,无,无,无,2023-03-19 16:17,橘色pop子HarmonyOS设备,180,1,11
MxZhupaVI,节能减排成果显著，小明荣获低能儿称号——@稗草遗章  ,,无,无,无,2023-03-19 13:58,橘色pop子HarmonyOS设备,464,19,23
MxYZV9Pis,大就是京，贾宝玉信步走进京观园。——@风车打脸噼里啪啦响  ,,无,无,无,2023-03-19 13:14,橘色pop子HarmonyOS设备,247,7,44
MxYG6g0PL,朋友们来一趟不容易，让我尽一下地主之谊，大家把我打了分田地吧！——@东方不打折券  ,,无,无,无,2023-03-19 12:25,橘色pop子HarmonyOS设备,352,8,15
MxT0wDU33,老婆说只要我把工资卡上交她就不扇我，卡代扇。——@冷了个冻  ,,无,无,无,2023-03-18 21:59,橘色pop子HarmonyOS设备,400,11,29
MxSNqmFvh,'AI的祖训是什么?''写注释'——@这个名太没意思了  ,,无,无,无,2023-03-18 21:27,橘色pop子HarmonyOS设备,880,71,50
MxSzHoXjS,“老本行！”Alex称赞Ben。——@超-威-蓝-猫  ,,无,无,无,2023-03-18 20:53,橘色pop子HarmonyOS设备,469,28,18
MxSn6lqoF,网友锐评0M的视频：1S都不想多看！——@潮湿闪耀澪  ,,无,无,无,2023-03-18 20:22,橘色pop子HarmonyOS设备,289,1,41
MxRqvkh0J,三角贸易时期的西方人是不是也可以叫索尼客？——@拉普兰德电锯鲨人狂  ,,无,无,无,2023-03-18 17:58,橘色pop子HarmonyOS设备,309,17,23
MxRkz4Y6b,请问去精子银行自动存取款机是不是得自带杯子？——@虫岛BLUE  ,,无,无,无,2023-03-18 17:43,橘色pop子HarmonyOS设备,405,2,35
MxQoG6B0g,一次性筷子用两次，就得到了负一次性筷子。——@偷娱  ,,无,无,无,2023-03-18 15:21,橘色pop子HarmonyOS设备,524,24,44
MxQgI1LOR,“警察同志，刚刚有人给我砍了一刀！”“我们马上到，你现在在哪儿？”“在拼多多”——@樱燃拟鸟  ,,无,无,无,2023-03-18 15:01,橘色pop子HarmonyOS设备,636,8,23
MxQ0lf9pA,行人自己走路不看路关我们隐形汽车什么事？——@饭希fanxi  ,,无,无,无,2023-03-18 14:21,橘色pop子HarmonyOS设备,253,4,18
MxPP19Qyc,蜘蛛串门——你来我网——@闅忎究馉啟褰  ,,无,无,无,2023-03-18 13:53,橘色pop子HarmonyOS设备,316,15,28
MxJzXrvtb,科学家说地球上智商第二高的生物是黑猩猩，那第一高的是谁啊？——@白芽烏椹的小號  ,,无,无,无,2023-03-17 21:59,橘色pop子HarmonyOS设备,2884,96,110
MxJ6Vg0Rs,“禮氫情意重。”太君說道。——@回涼州的稚然  ,,无,无,无,2023-03-17 20:48,橘色pop子HarmonyOS设备,240,4,17
MxIYOAPi0,黄牌用完了，作为替代，裁判只好给犯规球员发金牌——@真不戳戳戳  ,,无,无,无,2023-03-17 20:28,橘色pop子HarmonyOS设备,325,10,34
MxIHindQO,你浅浅的微笑，就像不怕巷子深。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2023-03-17 19:44,橘色pop子HarmonyOS设备,261,4,14
MxAE033rM,王警官查酒驾遇到十六岁的司机，根据十八岁以下不得饮酒的规定直接放行——@三维社恐团子  ,,无,无,无,2023-03-16 23:14,橘色pop子HarmonyOS设备,522,4,22
MxAhf4zYC,古时候开战为什么一般不挑晚上？因为夜色会导致全军覆墨——@酥打气泡猹  ,,无,无,无,2023-03-16 22:18,橘色pop子HarmonyOS设备,358,3,41
MxA7AbdOC,“翻过阿尔卑斯山就得意！”拿破仑说——@司徒pi德  ,,无,无,无,2023-03-16 21:54,橘色pop子HarmonyOS设备,153,4,12
MxzU4nuLb,“小事，化了。”开冰淇淋车的老李和老板汇报。——@超-威-蓝-猫  ,,无,无,无,2023-03-16 21:21,橘色pop子HarmonyOS设备,245,4,15
MxzGGkbRK,“是山东人？”“山东人氏。”——@谐霸  ,,无,无,无,2023-03-16 20:48,橘色pop子HarmonyOS设备,542,16,43
MxzvW3ypP,借问酒家何处有，牧童说让我提交书面申请并将在7-15个工作日内进行回复。——@张高端  ,,无,无,无,2023-03-16 20:22,橘色pop子HarmonyOS设备,663,21,32
Mxzlw90kZ,吃烤肉也是某种意义上的撸铁。——@dogfar42467  ,,无,无,无,2023-03-16 19:56,橘色pop子HarmonyOS设备,303,54,27
Mxz9RBRH0,希望大家这次比赛，可以本着冠军第一，亚军第二的原则——@可逆人偶  ,,无,无,无,2023-03-16 19:27,橘色pop子HarmonyOS设备,415,18,28
Mxz20ocUp,把昆虫放进水里，水就变混浊了——@六翼大叔  ,,无,无,无,2023-03-16 19:08,橘色pop子HarmonyOS设备,2213,216,91
MxyRQjm4z,叔叔应该叫赛塞翁——@青矢唯  ,,无,无,无,2023-03-16 18:43,橘色pop子HarmonyOS设备,161,1,22
MxreNfA7q,自从我听说大猩猩是人类近亲后，我就觉得禁止近亲结婚可太对了——skftbn  ,,无,无,无,2023-03-15 23:18,微博网页版,470,5,20
MxqQ1z86K,俗话说树挪死，人挪活。儿女将病重的我从icu接回家一定是想把我救活吧。——张脑丸  ,,无,无,无,2023-03-15 22:17,微博网页版,1282,22,55
MxqqRpwr4,人类现有的训犬水平还是不行，翻了很多训犬教程，没有一个是能教会狗帮我写论文的——摧铩  ,,无,无,无,2023-03-15 21:15,微博网页版,630,17,39
Mxq0SEENi,用不起电灯的人不用金子照明？毕竟金子总是会发光的——快乐鸽文的SATA  ,,无,无,无,2023-03-15 20:11,微博网页版,295,0,30
MxpBIrL1s,震惊！营养专家告诉你饮食禁忌：吃一口秤砣，体重增加十斤！——路人丙寅9   ,,无,无,无,2023-03-15 19:09,微博网页版,256,2,28
MxpcXFCCu,多啦A梦靠在孟婆摊旁卖记忆面包而一夜暴富。——路人丙寅9   ,,无,无,无,2023-03-15 18:08,微博网页版,391,2,28
MxoMZfUqO,牛顿尸体转化成的石油还能是非牛顿流体吗？——此吧右上角之父  ,,无,无,无,2023-03-15 17:04,微博网页版,349,9,31
MxoyMsxr5,人类掌握了可控核聚变，然后熄灭了太阳——涵容与  ,,无,无,无,2023-03-15 16:29,微博网页版,352,7,21
MxomBpcox,网友说顺着网线过来打我，吓死我了，还好我及时切了WiFi。——@欣欣是美女w  ,,无,无,无,2023-03-15 15:59,微博网页版,271,2,33
MxnXQoLYH,45度角仰望天空听起来很low，如果改成sin45°仰望天空就显得很有文化——美帝人类希望咯  ,,无,无,无,2023-03-15 14:58,微博网页版,760,13,49
Mxnz4CNrU,即使已经非常努力学习，累计挂科次数还是没有减少，是我学习方法不对吗——Dido恨因斯坦  ,,无,无,无,2023-03-15 13:57,微博网页版,229,2,30
Mxn9Uvp5N,生命是无价的，所以是单质——3461282  ,,无,无,无,2023-03-15 12:55,微博网页版,1336,231,63
MxmL9rEU4,明星在鸭血粉丝里吃不到鸭血，因为他们一直在提纯粉丝——月夜魔术师  ,,无,无,无,2023-03-15 11:54,微博网页版,452,7,21
MxmhVs0SF,即使现场破乱不堪，名侦探仅凭回忆就还原了整个行凶过程。——SH夏福  ,,无,无,无,2023-03-15 10:42,微博网页版,1462,68,38
MxlRX05Na,领导禁止我在灵堂上洗澡这正常吗？——长坂战神刘禅  ,,无,无,无,2023-03-15 09:38,微博网页版,426,5,34
MxlsnqC3v,如果没有剧透，就不知道剧情好不好看，你们都怎么看得下去的？——SH夏福  ,,无,无,无,2023-03-15 08:35,微博网页版,442,6,37
Mxl3deOrZ,东北富豪闭门造车，豪车发动机损坏严重。——张脑丸  ,,无,无,无,2023-03-15 07:33,微博网页版,318,5,36
MxhJ13IUN,经常吃减肥药的人，通常都是胖子。由此可以推断减肥药会导致人肥胖。——@机智的冰可乐  ,,无,无,无,2023-03-14 23:05,微博网页版,388,12,38
MxhnvdFFV,抱歉能耽误您两分钟嘛？因为我想耽误你的两分种——@机智的冰可乐  ,,无,无,无,2023-03-14 22:12,微博网页版,573,17,37
MxhgBkahi,咸蛋是否算一个偏义复词——@FliBberRtigIbbeT  ,,无,无,无,2023-03-14 21:55,微博网页版,593,18,28
Mxh5giko6,人体一半是细胞，另一半是你的背包。——@一秒钟哲学家  ,,无,无,无,2023-03-14 21:27,橘色pop子HarmonyOS设备,393,19,34
MxgRrazMn,上帝关了我一扇门，所以上帝是我的关门弟子——@是土特产  ,,无,无,无,2023-03-14 20:53,微博网页版,374,16,17
Mxgqf0rGM,被膝盖压窒息的是不是就叫kneeger——@东山闹  ,,无,无,无,2023-03-14 19:46,微博网页版,451,11,30
Mxgnbzyde,柏林战役：苏联得德的地——@SRIFH  ,,无,无,无,2023-03-14 19:38,橘色pop子HarmonyOS设备,683,123,41
MxgjRkskZ,过桥米线那么贵是不是因为要交过桥费？——@奥兰多会开花  ,,无,无,无,2023-03-14 19:30,橘色pop子HarmonyOS设备,183,3,24
Mxg0gmcNq,犯罪的人叫罪人，所以法人就是犯法的人。——@嗯超级好笑  ,,无,无,无,2023-03-14 18:42,微博网页版,335,7,46
MxfQss5yE,这个中专，我200入的。——@SHRONH  ,,无,无,无,2023-03-14 18:17,橘色pop子HarmonyOS设备,262,4,28
MxfzSq0bP,吃啥拉啥的小明靠吃人获得pdd百元红包——@思维混乱但试图表达  ,,无,无,无,2023-03-14 17:37,微博网页版,234,4,26
Mxfgrrcuk,哎呀老公我拧不开这个银行金库大门啦，你帮帮人家啦——@饭希fanxi  ,,无,无,无,2023-03-14 16:49,橘色pop子HarmonyOS设备,2542,89,54
Mxfaj8kle,在我伤口上撒盐后不妨继续撒上孜然和辣椒面这样才美味可口。——@欣欣是美女w  ,,无,无,无,2023-03-14 16:34,微博网页版,295,20,18
